"","date","dat$`Lufttemperatur (°C)`","dat$`Windböen (max) 10 min. (m/s)`","dat$`Windstärke Ø 10 min. (bft)`","dat$`Taupunkt (°C)`","dat$`Niederschlag (mm)`","dat$`Luftdruck QFE (hPa)`","dat$`Luftfeuchte (%)`","total","mean"
"404",2016-01-19 08:00:00,-2.58333333333333,2.7,1.66666666666667,-5.43333333333333,0,966.466666666667,80.6666666666667,1052074,79.497808674626
"405",2016-01-19 09:00:00,-1.85,2.95,1.83333333333333,-4.68333333333333,0,966.566666666667,80.8333333333333,570958,49.4550021654396
"406",2016-01-19 10:00:00,-1.31666666666667,2.9,2,-3.96666666666667,0,966.8,82.5,418354,37.042146272357
"407",2016-01-19 11:00:00,-0.9,3.83333333333333,2,-3.13333333333333,0,966.9,84.6666666666667,466210,41.0071246371713
"408",2016-01-19 12:00:00,-0.716666666666667,4.6,2.66666666666667,-2.48333333333333,0,966.733333333333,87.6666666666667,487630,42.0334453926386
"409",2016-01-19 13:00:00,-0.2,4.68333333333333,2.5,-2.21666666666667,0,966.433333333333,86.3333333333333,509662,44.2453337963365
"410",2016-01-19 14:00:00,0.283333333333333,5.15,2.83333333333333,-2.41666666666667,0,966.116666666667,82.1666666666667,474484,42.1127185586225
"411",2016-01-19 15:00:00,0.383333333333333,5.76666666666667,2.66666666666667,-2.48333333333333,0,966.166666666667,81,489391,42.3165585819282
"412",2016-01-19 16:00:00,0.2,6.58333333333333,3.16666666666667,-1.66666666666667,0,966.316666666667,87.3333333333333,529857,39.9771389769126
"413",2016-01-19 17:00:00,0,4.66666666666667,2.5,-0.966666666666667,0,966.483333333333,93,866050,63.8491595399587
"414",2016-01-19 18:00:00,0.05,2.41666666666667,1.5,-0.883333333333333,0,966.716666666667,93,672462,50.6486405061384
"415",2016-01-19 19:00:00,0.4,2.3,1.33333333333333,-0.65,0,966.766666666667,93,443887,37.7487031210137
"416",2016-01-19 20:00:00,0.633333333333333,3.61666666666667,2,-0.283333333333333,0,966.8,93.6666666666667,472979,44.8491371135976
"417",2016-01-19 21:00:00,0.683333333333333,2.93333333333333,2,-0.0666666666666667,0,966.85,94.8333333333333,398827,48.5900341130604
"418",2016-01-19 22:00:00,0.95,2.28333333333333,1.33333333333333,0.116666666666667,0,966.95,94,305077,38.6173417721519
"419",2016-01-19 23:00:00,0.95,1.91666666666667,1.16666666666667,0.133333333333333,0,966.9,94.3333333333333,174813,28.4943765281174
"420",2016-01-20 00:00:00,0.933333333333333,1.2,0.833333333333333,0.2,0.6,966.95,94.8333333333333,152223,33.0130123617437
"421",2016-01-20 01:00:00,0.85,0.0833333333333333,0,0.2,0.6,966.9,95.6666666666667,2225,17.8
"422",2016-01-20 04:00:00,1.2,1.76666666666667,1.16666666666667,0.85,0,967.166666666667,97.6666666666667,1000,7.75193798449612
"423",2016-01-20 05:00:00,1.01666666666667,2.93333333333333,2,0.716666666666667,0,967.333333333333,98,214963,41.5467723231542
"424",2016-01-20 06:00:00,0.833333333333333,3.3,2,0.566666666666667,0,967.5,98,614606,50.0819752281617
"425",2016-01-20 07:00:00,0.85,3.25,2,0.483333333333333,0,967.916666666667,97.3333333333333,879885,63.5984821105891
"426",2016-01-20 08:00:00,0.916666666666667,3.16666666666667,2,0.45,0,968.366666666667,96.3333333333333,935713,70.4550109178526
"427",2016-01-20 09:00:00,1.11666666666667,3.85,2,0.516666666666667,0,968.85,95.6666666666667,445640,38.3973806651732
"428",2016-01-20 10:00:00,1.25,3.9,2,0.35,0,969.383333333333,93.6666666666667,371557,32.9833111407013
"429",2016-01-20 11:00:00,1.7,3.41666666666667,1.83333333333333,0.35,0,969.8,90.5,404741,35.5285287921348
